stone,0,160,80
stone,80,160,80
stone,160,160,80
stone,240,160,80
metal,320,160,80
stone,400,160,80
stone,480,160,80
stone,560,160,80
stone,640,160,80
stone,720,160,80
stone,800,160,80
metal,880,160,80
stone,960,160,80
stone,1040,160,80
stone,1120,160,80
stone,0,240,80
stone,80,240,80
stone,160,240,80
stone,240,240,80
metal,320,240,80
stone,400,240,80
stone,480,240,80
stone,560,240,80
stone,640,240,80
stone,720,240,80
stone,800,240,80
metal,880,240,80
stone,960,240,80
stone,1040,240,80
stone,1120,240,80
stone,0,320,80
stone,80,320,80
stone,160,320,80
stone,240,320,80
shrub,320,320,80
stone,400,320,80
stone,480,320,80
stone,560,320,80
stone,640,320,80
stone,720,320,80
stone,800,320,80
shrub,880,320,80
stone,960,320,80
stone,1040,320,80
stone,1120,320,80
stone,0,400,80
stone,80,400,80
stone,160,400,80
stone,240,400,80
metal,320,400,80
stone,400,400,80
stone,480,400,80
stone,560,400,80
stone,640,400,80
stone,720,400,80
stone,800,400,80
metal,880,400,80
stone,960,400,80
stone,1040,400,80
stone,1120,400,80
shrub,0,480,80
shrub,80,480,80
shrub,160,480,80
shrub,240,480,80
shrub,320,480,80
water,400,480,80
water,480,480,80
water,560,480,80
water,640,480,80
water,720,480,80
water,800,480,80
shrub,880,480,80
shrub,960,480,80
shrub,1040,480,80
shrub,1120,480,80
stone,0,560,80
stone,80,560,80
stone,160,560,80
stone,240,560,80
metal,320,560,80
stone,400,560,80
stone,480,560,80
stone,560,560,80
stone,640,560,80
stone,720,560,80
stone,800,560,80
metal,880,560,80
stone,960,560,80
stone,1040,560,80
stone,1120,560,80
stone,0,640,80
stone,80,640,80
stone,160,640,80
stone,240,640,80
metal,320,640,80
stone,400,640,80
stone,480,640,80
stone,560,640,80
stone,640,640,80
stone,720,640,80
stone,800,640,80
metal,880,640,80
stone,960,640,80
stone,1040,640,80
stone,1120,640,80
stone,0,720,80
stone,80,720,80
stone,160,720,80
stone,240,720,80
metal,320,720,80
stone,400,720,80
stone,480,720,80
stone,560,720,80
stone,640,720,80
stone,720,720,80
stone,800,720,80
metal,880,720,80
stone,960,720,80
stone,1040,720,80
stone,1120,720,80
enemy,0,0,70
enemy,280,0,70
enemy,480,0,70
enemy,680,0,70
player,560,820,70
base,720,820,70
stone,790,820,70
